Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,6/5/2025 5:04,FALSE,Honoria Hiking,3.2,295,1:32,97,134,48,188,28:41:00,10:20,102,83,0.73,--,--,--,--,0,--,--,"5,416",--,--,-10,No,1:31:54,1,--,--,--,--,--,--,--,--,0:42:41,1:31:54,162,198
Pilates,6/4/2025 19:27,FALSE,Pilates,0,62,0:26,85,114,1,166,--,--,--,--,0,--,--,--,--,0,--,--,12,6,2,--,No,0:25:00,1,--,--,--,--,--,--,--,--,0:25:00,0:25:00,--,--
Strength Training,6/4/2025 19:04,FALSE,Strength,0,66,0:22,92,112,--,--,--,--,--,--,--,--,--,--,--,0,--,--,656,328,40,-1,No,0:21:15,1,--,--,--,--,--,--,--,--,0:16:00,0:21:15,--,--
Yoga,6/3/2025 19:31,FALSE,Yoga,--,32,0:16,80,98,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,--,No,0:15:48,1,16,10,21,-4,31,27,66,94,0:15:48,0:15:48,--,--
Hiking,6/3/2025 5:08,FALSE,Honoria Hiking,5.07,465,2:10,103,150,46,234,25:36:00,7:12,188,172,0.85,--,--,--,--,0,--,--,"7,872",--,--,-14,No,2:09:48,1,--,--,--,--,--,--,--,--,0:57:06,2:09:48,158,201
Yoga,6/1/2025 16:48,FALSE,Yoga,--,15,0:08,79,100,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1,-1,No,07:59.5,1,17,10,23,-2,80,78,72,88,07:59.5,07:59.5,--,--
Strength Training,6/1/2025 16:16,FALSE,Strength,0,117,0:29,105,131,--,--,--,--,--,--,--,--,--,--,--,0,--,--,900,450,41,-3,No,0:28:50,1,--,--,--,--,--,--,--,--,0:22:49,0:29:49,--,--
Hiking,5/30/2025 5:24,FALSE,Honoria Hiking,5.34,487,2:29,100,142,44,167,27:49:00,7:32,188,171,0.81,--,--,--,--,0,--,--,"9,098",--,--,-20,No,2:28:32,1,--,--,--,--,--,--,--,--,1:01:17,2:30:45,162,201
Hiking,5/29/2025 5:44,FALSE,Honoria Hiking,4.57,497,2:04,110,148,43,167,26:58:00,5:32,143,140,0.86,--,--,--,--,0,--,--,"7,590",--,--,-11,No,00:01.6,2,--,--,--,--,--,--,--,--,0:48:20,2:03:21,160,201
Breathwork,5/28/2025 8:11,FALSE,Relax and Focus (Short),--,--,0:06,101,111,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,-1,No,0:00:04,77,9,5,21,-8,96,88,95,98,0:00:00,05:45.2,--,--
Hiking,5/28/2025 5:12,FALSE,Honoria Hiking,6.99,733,2:57,110,160,51,167,25:15:00,7:52,237,229,0.88,--,--,--,--,0,--,--,"11,242",--,--,-28,No,0:15:42,5,--,--,--,--,--,--,--,--,1:26:22,2:56:29,165,252
Yoga,5/27/2025 18:49,FALSE,Yoga,--,20,0:09,87,109,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,2,-1,No,08:12.5,1,16,0,22,-32,83,51,79,96,08:12.5,08:12.5,--,--
Cardio,5/27/2025 18:43,FALSE,5-Minute Plank Challenge,0,24,0:06,108,119,--,--,--,--,--,--,--,--,--,--,--,0,--,--,8,13,5,--,No,05:01.9,1,--,--,--,--,--,--,--,--,0:00:00,05:01.9,--,--
Strength Training,5/27/2025 18:10,FALSE,Strength,0,74,0:32,83,103,--,--,--,--,--,--,--,--,--,--,--,0,--,--,984,492,30,-1,No,0:31:43,1,--,--,--,--,--,--,--,--,0:24:16,0:31:43,--,--
Breathwork,5/27/2025 7:24,FALSE,Relax and Focus (Short),--,--,0:06,71,96,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,-1,No,0:00:04,77,9,4,21,4,16,20,36,91,0:00:00,0:11:00,--,--
